datetime,short_forcast,temperature,is_available
2020-08-27 22:30:00,Partly Cloudy,80,1
2020-08-27 22:45:00,Partly Cloudy,80,1
2020-08-27 23:00:00,Mostly Clear,79,1
2020-08-27 23:15:00,Mostly Clear,79,1
2020-08-27 23:30:00,Mostly Clear,79,1
2020-08-27 23:45:00,Mostly Clear,79,1
2020-08-28 00:15:00,Mostly Clear,79,1
2020-08-28 00:30:00,Mostly Clear,79,1
2020-08-28 00:45:00,Mostly Clear,79,1
2020-08-28 00:00:00,Mostly Clear,79,1
2020-08-28 01:00:00,Partly Cloudy,78,1
2020-08-28 01:15:00,Partly Cloudy,78,1
2020-08-28 01:30:00,Partly Cloudy,78,1
2020-08-28 01:45:00,Partly Cloudy,78,1
2020-08-28 02:00:00,Partly Cloudy,78,1
2020-08-28 02:15:00,Partly Cloudy,78,1
2020-08-28 02:30:00,Partly Cloudy,78,1
2020-08-28 02:45:00,Partly Cloudy,78,1
2020-08-28 03:00:00,Partly Cloudy,77,1
2020-08-28 03:15:00,Partly Cloudy,77,1
2020-08-28 03:30:00,Partly Cloudy,77,1
2020-08-28 03:45:00,Partly Cloudy,77,1
2020-08-28 04:00:00,Partly Cloudy,76,1
2020-08-28 04:15:00,Partly Cloudy,76,1
2020-08-28 04:30:00,Partly Cloudy,76,1
2020-08-28 04:45:00,Partly Cloudy,76,1
2020-08-28 05:00:00,Partly Cloudy,75,1
2020-08-28 05:15:00,Partly Cloudy,75,1
2020-08-28 05:30:00,Partly Cloudy,75,1
2020-08-28 05:45:00,Partly Cloudy,75,1
2020-08-28 06:00:00,Mostly Sunny,75,1
2020-08-28 06:15:00,Mostly Sunny,75,1
2020-08-28 06:30:00,Mostly Sunny,75,1
2020-08-28 06:45:00,Mostly Sunny,75,1
2020-08-28 07:00:00,Mostly Sunny,75,1
2020-08-28 07:15:00,Mostly Sunny,75,1
2020-08-28 07:30:00,Mostly Sunny,75,1
2020-08-28 07:45:00,Mostly Sunny,75,1
